cluster,weekdayindex,day,hour,time,violationdescription,percent,globalpercent,result,lat_min,long_min,lat_max,long_max
6417,0,Monday,12,12:00 ,NO PARKING,1.0,0.047482014,21.06,34.054585,-118.266141,34.054585,-118.266141
4828,3,Thursday,14,2:00 P,METER EXP.,0.5,0.093860268,5.33,34.097983,-118.333211,34.097983,-118.333211
5457,1,Tuesday,11,11:00 ,NO PARK/STREET CLEAN,0.5,0.060866939,8.21,34.067402,-118.275325,34.067402,-118.275325
6240,3,Thursday,14,2:00 P,NO PARK/STREET CLEAN,1.0,0.00648665,154.16,34.05353,-118.260863,34.05353,-118.260863
5905,2,Wednesday,17,5:00 P,NO STOP/STANDING,1.0,0.100628931,9.94,34.04174555,-118.2566084,34.04189117,-118.2564715
1733,0,Monday,8,8:00 A,NO PARK/STREET CLEAN,1.0,0.275908479,3.62,33.99661374,-118.476073,33.99755031,-118.4746709
1896,4,Friday,13,1:00 P,METER EXP.,0.4,0.094299032,4.24,33.99707443,-118.4787082,33.9971547,-118.4786279
3460,1,Tuesday,12,12:00 ,METER EXP.,1.0,0.128044972,7.81,34.16699555,-118.3747071,34.16699567,-118.374285
2190,1,Tuesday,18,6:00 P,DISPLAY OF PLATES,1.0,0.06031746,16.58,34.04941952,-118.433804,34.04943855,-118.4337875
6238,1,Tuesday,8,8:00 A,NO PARK/STREET CLEAN,0.5,0.289382269,1.73,34.05667696,-118.2578591,34.056763,-118.257806
